date,batter,pitcher,bvp_pa,bvp_avg,fd_pts,baseline,rel,bucket
2026-04-24,669127,543135,18,0.278,0.0,11.23,-11.23,MID
2026-04-24,671732,543135,15,0.154,0.0,8.39,-8.39,BAD
2026-05-06,643446,554430,41,0.184,3.0,7.77,-4.77,BAD
2026-05-21,701762,667755,17,0.214,15.7,14.92,0.78,MID
2026-05-21,669127,667755,18,0.471,12.2,12.49,-0.29,GOOD
2026-05-21,667670,667755,20,0.438,9.0,10.34,-1.34,GOOD
2026-05-21,691016,667755,19,0.353,6.0,9.61,-3.61,GOOD
2026-05-29,667670,607074,15,0.067,6.2,9.3,-3.1,BAD
2026-06-19,701762,667755,17,0.214,9.5,15.22,-5.72,MID
2026-06-19,669127,667755,18,0.471,12.7,11.67,1.03,GOOD
2026-06-19,691016,667755,19,0.353,27.6,10.86,16.74,GOOD
2026-06-21,641680,672282,29,0.28,6.5,8.55,-2.05,MID
2026-06-27,641680,672282,29,0.28,21.7,8.49,13.21,MID
2026-07-07,669127,669373,16,0.133,9.5,10.91,-1.41,BAD
2026-07-07,641680,669373,22,0.19,6.0,9.27,-3.27,BAD
2026-07-09,669127,664285,27,0.36,9.0,10.75,-1.75,GOOD
2026-07-09,641680,664285,31,0.179,3.0,9.2,-6.2,BAD
2026-05-25,669127,622491,27,0.208,18.7,11.74,6.96,MID
2026-05-25,667670,622491,20,0.15,0.0,9.82,-9.82,BAD
2026-05-27,669127,669302,26,0.154,3.0,11.7,-8.7,BAD
2026-04-22,683002,608379,20,0.1,0.0,12.9,-12.9,BAD
2026-04-24,683002,678394,28,0.292,31.1,12.25,18.85,MID
2026-05-03,624413,608331,53,0.277,12.2,10.3,1.9,MID
2026-05-12,683002,701542,17,0.231,0.0,10.49,-10.49,MID
2026-05-15,668939,641793,21,0.263,0.0,12.48,-12.48,MID
2026-05-15,621493,641793,15,0.357,6.0,10.42,-4.42,GOOD
2026-05-15,683002,641793,32,0.276,12.5,9.95,2.55,MID
2026-05-18,668939,663556,17,0.077,31.4,11.48,19.92,BAD
2026-05-24,668939,664285,20,0.353,6.0,11.5,-5.5,GOOD
2026-05-24,624413,664285,15,0.308,0.0,10.92,-10.92,GOOD
2026-05-24,683002,664285,16,0.286,21.7,10.31,11.39,MID
2026-05-24,621493,664285,38,0.441,6.5,10.24,-3.74,GOOD
2026-05-24,665750,664285,26,0.36,15.2,8.97,6.23,GOOD
2026-05-25,668939,663556,17,0.077,6.2,11.18,-4.98,BAD
2026-06-09,683002,669302,15,0.071,0.0,10.1,-10.1,BAD
2026-06-09,621493,669302,32,0.286,9.2,9.89,-0.69,MID
2026-06-09,665750,669302,24,0.091,10.0,8.67,1.33,BAD
2026-06-14,624413,621111,17,0.353,6.0,11.42,-5.42,GOOD
2026-05-01,683002,701542,17,0.231,0.0,12.89,-12.89,MID
2026-05-05,624413,645261,48,0.19,37.8,10.13,27.67,BAD
